Kolkata vs Mumbai,Apr 07 - Thu,05:00
Chennai vs Delhi,Apr 07 - Thu,05:10
Punjab vs Rajasthan,Apr 10 - Fri,20:00
Chennai vs Hyderabad,Apr 11 - Sat,16:00
Kolkata vs Bangalore,Apr 11 - Sat,20:00
Delhi vs Rajasthan,Apr 12 - Sun,16:00
Mumbai vs Punjab,Apr 12 - Sun,20:00
Bangalore vs Hyderabad,Apr 13 - Mon,20:00
Rajasthan vs Mumbai,Apr 14 - Tue,20:00
Punjab vs Delhi,Apr 15 - Wed,20:00
Hyderabad vs Rajasthan,Apr 16 - Thu,20:00
Mumbai vs Chennai,Apr 17 - Fri,20:00
Hyderabad vs Delhi,Apr 18 - Sat,16:00
Punjab vs Kolkata,Apr 18 - Sat,20:00
Rajasthan vs Chennai,Apr 19 - Sun,16:00
Bangalore vs Mumbai,Apr 19 - Sun,20:00
Delhi vs Kolkata,Apr 20 - Mon,20:00
Rajasthan vs Punjab,Apr 21 - Tue,20:00
Hyderabad vs Kolkata,Apr 22 - Wed,16:00
Bangalore vs Chennai,Apr 22 - Wed,20:00
Delhi vs Mumbai,Apr 23 - Thu,20:00
Rajasthan vs Bangalore,Apr 24 - Fri,20:00
Mumbai vs Hyderabad,Apr 25 - Sat,16:00
Chennai vs Punjab,Apr 25 - Sat,20:00
Kolkata vs Rajasthan,Apr 26 - Sun,16:00
Delhi vs Bangalore,Apr 26 - Sun,20:00
Punjab vs Hyderabad,Apr 27 - Mon,20:00
Chennai vs Kolkata,Apr 28 - Tue,20:00
Bangalore vs Rajasthan,Apr 29 - Wed,20:00
Kolkata vs Chennai,Apr 30 - Thu,20:00
Delhi vs Punjab,May 01 - Fri,16:00
Mumbai vs Rajasthan,May 01 - Fri,20:00
Bangalore vs Kolkata,May 02 - Sat,16:00
Hyderabad vs Chennai,May 02 - Sat,20:00
Punjab vs Mumbai,May 03 - Sun,16:00
Rajasthan vs Delhi,May 03 - Sun,20:00
Chennai vs Bangalore,May 04 - Mon,16:00
Kolkata vs Hyderabad,May 04 - Mon,20:00
Mumbai vs Delhi,May 05 - Tue,20:00
Bangalore vs Punjab,May 06 - Wed,20:00
Rajasthan vs Hyderabad,May 07 - Thu,16:00
Kolkata vs Delhi,May 07 - Thu,20:00
Chennai vs Mumbai,May 08 - Fri,20:00
Kolkata vs Punjab,May 09 - Sat,16:00
Delhi vs Hyderabad,May 09 - Sat,20:00
Mumbai vs Bangalore,May 10 - Sun,16:00
Chennai vs Rajasthan,May 10 - Sun,20:00
Hyderabad vs Punjab,May 11 - Mon,20:00
Delhi vs Chennai,May 12 - Tue,20:00
Punjab vs Bangalore,May 13 - Wed,20:00
Mumbai vs Kolkata,May 14 - Thu,20:00
Hyderabad vs Bangalore,May 15 - Fri,20:00
Punjab vs Chennai,May 16 - Sat,16:00
Rajasthan vs Kolkata,May 16 - Sat,20:00
Bangalore vs Delhi,May 17 - Sun,16:00
Hyderabad vs Mumbai,May 17 - Sun,20:00
TBC vs TBC,May 19 - Tue,20:00
TBC vs TBC,May 20 - Wed,20:00
TBC vs TBC,May 22 - Fri,20:00
TBC vs TBC,May 24 - Sun,20:00
